CACODE	CONSTITUENCY_C	CONSTITUENCY_E	CAND_NUM	NAME_E	NAME_C	AFFILIATION
C08	翠灣	tsuiwan	2	wantszfungjeff	尹梓烽	新青年聯盟
C08	翠灣	tsuiwan	3	kwanshuilung	關瑞龍	民建聯
C08	翠灣	tsuiwan	4	laileungsiukwan	黎梁笑群	香港島婦女聯會
C09	欣藍	yanlam	1	wongkinhing	黃健興	香港島各界聯合會
C10	小西灣	siusaiwan	1	wongkwokhing	王國興	工聯會
C10	小西灣	siusaiwan	2	chuyaton	朱日安	獨立建制派
C10	小西灣	siusaiwan	3	tamtakchi	譚得志	人民力量
C11	景怡	kingyee	1	wongkwanfung	黃群峰	不明確
C11	景怡	kingyee	2	yeunghonsing	楊漢成	獨立建制派
C11	景怡	kingyee	3	chanyiutak	陳耀德	獨立民主派
C11	景怡	kingyee	4	leungkwokhungdavid	梁國鴻	工聯會
C12	環翠	wantsui	1	ngyinkeung	吳彥強	公民黨
C12	環翠	wantsui	2	kungpakcheung	龔栢祥	民建聯
C13	翡翠	feitsui	1	lilee	李莉	獨立建制派
C13	翡翠	feitsui	2	laichikeongjoseph	黎志強	公民黨
C13	翡翠	feitsui	3	luichiman	呂志文	不明確
C14	柏架山	mountparker	1	wongkinpan	黃建彬	民建聯
C15	寶馬山	braemarhill	1	shiukafai	邵家輝	自由黨
C16	炮台山	fortresshill	1	lowingkwan	羅榮焜	香港島各界聯合會
C17	城市花園	citygarden	1	huichingon	許清安	香港島各界聯合會
C18	和富	provident	1	kwokwaikeung	郭偉强	工聯會
C19	堡壘	fortstreet	1	hunglincham	洪連杉	民建聯
C20	錦屏	kamping	1	choysoyuk	蔡素玉	民建聯
C21	丹拿	tanner	1	chengtathung	鄭達鴻	公民黨
C21	丹拿	tanner	2	tsangcheukyi	曾卓兒	自由黨
C22	健康村	healthyvillage	1	cheungchising	鄭志成	民建聯
C23	鰂魚涌	quarrybay	1	ipcheetak	葉智德	獨立民主派
C23	鰂魚涌	quarrybay	2	tingkonghoeddie	丁江浩	民建聯
C24	南豐	namfung	1	yangmo	楊默	社區18
C24	南豐	namfung	2	lichaksum	李澤深	新青年聯盟
C24	南豐	namfung	3	cheungkwokcheong	張國昌	民主黨
C25	康怡	kornhill	1	wongpoyi	黃寶兒	不明確
C25	康怡	kornhill	2	leungwingman	梁穎敏	公民黨
C25	康怡	kornhill	3	hunglungchuen	洪龍荃	新民黨
C26	康山	kornhillgarden	1	kongyukfoondoreen	江玉歡	新民黨
C26	康山	kornhillgarden	2	leungsiusun	梁兆新	公民黨
C27	興東	hingtung	1	tsangkwokfai	曾國輝	工黨
C27	興東	hingtung	2	huilamhing	許林慶	工聯會
C28	西灣河	saiwanho	1	kongchackho	江澤濠	香港島各界聯合會
C28	西灣河	saiwanho	2	maktakching	麥德正	工黨
